date,time,title,slug,uid
1/7/2017,9:00,KATIE EARY ,,
1/7/2017,5:00,CASELY-HAYFORD ,,
1/7/2017,8:00,AGI & SAM ,,
1/9/2017,2:00,VIVIENNE WESTWOOD,,
1/8/2017,5:00,CHRISTOPHER RAEBURN,,
1/8/2017,7:00,SIBLING,,
2/17/2017,1:00,EUDON CHOI,,
2/17/2017,5:00,ASHLEY WILLIAMS,,
2/17/2017,8:00,CENTRAL SAINT MARTINS MA,,
2/17/2017,TBD,WHISTLES,,
2/17/2017,TBD,BELSTAFF,,
2/18/2017,9:00,CHALAYAN,,
2/18/2017,10:00,RYAN LO,,
2/18/2017,11:00,FASHION EAST,,
2/18/2017,11:30 - 1:00,FAUSTINE STEINMETZ,,
2/18/2017,12:30 - 2:30,EDELINE LEE,,
2/18/2017,1:00,JULIEN MACDONALD,,
2/18/2017,1:30 - 3:30,MARKUS LUPFER,,
2/18/2017,2:00,MOLLY GODDARD,,
2/18/2017,3:00,PORTS 1961,,
2/18/2017,4:00,J.W. ANDERSON,,
2/18/2017,4:30 - 6:30,PALMER//HARDING,,
2/18/2017,5:00,EMILIA WICKSTEAD,,
2/18/2017,6:00,SIMONE ROCHA,,
2/18/2017,7:00,HOUSE OF HOLLAND,,
2/18/2017,8:00,GARETH PUGH,,
2/18/2017,9:00,VERSUS VERSACE,,
2/18/2017,TBD,SID NEIGUM,,
2/19/2017,9:00,MARGARET HOWELL,,
2/19/2017,10:00,ANYA HINDMARCH  ,,
2/19/2017,11:00,PREEN BY THORNTON BREGAZZI,,
2/19/2017,12:00,ROLAND MOURET,,
2/19/2017,1:00,TOGA,,
2/19/2017,1:30 - 3:30,A.W.A.K.E.,,
2/19/2017,2:00,TOPSHOP UNIQUE,,
2/19/2017,2:30 - 4:30,NATASHA ZINKO ,,
2/19/2017,3:00,PETER PILOTTO ,,
2/19/2017,4:00,MULBERRY,,
2/19/2017,4:30 - 6:30,MM6 MAISON MARGIELA,,
2/19/2017,5:00,DAVID KOMA,,
2/19/2017,5:30 - 7:30,PHOEBE ENGLISH,,
2/19/2017,6:00,TEMPERLEY LONDON,,
2/19/2017,7:00,MARY KATRANTZOU,,
2/19/2017,8:00,CHARLOTTE OLYMPIA ,,
2/19/2017,TBD,DURO OLOWU,,
2/20/2017,9:00,ANTONIO BERARDI,,
2/20/2017,10:00,ROKSANDA,,
2/20/2017,11:00,ERDEM,,
2/20/2017,11:30 - 1:30,HILL & FRIENDS,,
2/20/2017,12:00,PRINGLE OF SCOTLAND,,
2/20/2017,1:00,SHARON WAUCHOB,,
2/20/2017,2:00,HUISHAN ZHANG,,
2/20/2017,3:00,CHRISTOPHER KANE,,
2/20/2017,4:00,OSMAN,,
2/20/2017,5:00,JOSEPH,,
2/20/2017,6:00,ASHISH,,
2/20/2017,7:30,BURBERRY,,
2/21/2017,morning,"VICTORIA, VICTORIA BECKHAM",,
2/21/2017,9:00,EMILIO DE LA MORENA,,
2/21/2017,11:00 - 1:00,ISA ARFEN,,
2/21/2017,11:00,J. JS LEE,,
2/21/2017,12:00,MARQUES ALMEIDA,,
