EXCLUDE,DAY OF WEEK,DATE,WHEN,REVIEW,SHOW,LOCATION,R,INSTANT,D,B,FR,PW,"INSTANT FR","INSTANT PW",POD,VIDEO,VIDEO HERO,FB LIVE,KT,SOCIAL,FEED,LIVEURL,LIVE,HP HERO,VR HERO,RED CARPET,PHOTO,NOTES,REQUEST SENT,NY TIME,TIME,DESIGNERCODE
,Monday,1/16/2017,11:30,AV,CEDRIC CHARLIER (Mens + Women's Fall '17),"Via Bergognone, 26",X,,,,,,,,,,,,,,,,,,,,,,,,11:30,cedric-charlier
,Wednesday,2/22/2017,10:00 - 6:00,TC,BRUNELLO CUCINELLI,"Viale Montello, 16
",X,,,,,,,,,,,,,,,,,,,,,,,,,
,Wednesday,2/22/2017,10:00 - 7:00,LL,DSQUARED2?,TBD,X,,,,,,,,,,,,,,,,,,,,PR PROVIDE,thru 26th,,,,dsquared
,Wednesday,2/22/2017,3:00,SM,GUCCI,"via Mecenate, 77",X,X,X,X,X,X,X,,,X,X,X,X,X,X,,,X,X,X,INDIGITAL, ,,8:30,,gucci
,Wednesday,2/22/2017,4:00,LL,FAY,"via Mecenate, 84",X,,,,,,,,,,,,,,,,,,,,INDIGITAL,,,9:30,,fay
,Wednesday,2/22/2017,5:00,NP,ALBERTA FERRETTI,"via E. Besana, 12",X,,,,,,,,,,,,,,X,,,,,,INDIGITAL,,,10:00,,alberta-ferretti
,Wednesday,2/22/2017,6:00,LL,NO. 21,"Via Senato, 10",X,,,,,,,,,,,,,,X,,X,,,,INDIGITAL,,,11:30,,no-21
,Wednesday,2/22/2017,7:00,NP,FAUSTO PUGLISI,"via Turati, 34",X,X,,,,,,,,,,,X,,X,,,,,,INDIGITAL,,,12:30,,fausto-puglisi
,Wednesday,2/22/2017,8:00,TC,FRANCESCO SCOGNAMIGLIO,TBD,X,,,,,,,,,,,,,,,,,,,,INDIGITAL,,,1:30,,francesco-scognamiglio
,Thursday,2/23/2017,9:30,SM,MAX MARA,"Via Senato, 10",X,,,,,,,,,,,,,,X,,,,,,INDIGITAL,,,3:30,,max-mara
,Thursday,2/23/2017,11:30,TC,LUISA BECCARIA,"via San Paolo, 10",X,,,,,,,,,,,,,,,,,,,,INDIGITAL,,,5:30,,luisa-beccaria
,Thursday,2/23/2017,12:30,SM,FENDI,"via Solari, 35",X,X,X,X,X,,,,X,X,X,X,X,X,X,,,,X,X,INDIGITAL,VIDEO: LL,,6:30,,fendi
,Thursday,2/23/2017,1:00 - 5:00,NP,BALLY,"Biblioteca Nazionale Braidense, via Brera, 28",X,,,,,,,,,,,,,,X,,,,,,PR PROVIDE,,,7:00 - 11:00,,bally
,Thursday,2/23/2017,1:00 - 8:00,LL,ATTICO,"Via Vivaio, 22, 1st floor",X,,,,,,,,,,,,,,,,,,,,,,,,,
,Thursday,2/23/2017,3:00,NP,EMILIO PUCCI,"via Vivegano, 18",X,X, , , ,,,, ,,,,X,,X,,,,,,INDIGITAL,,,9:00,,emilio-pucci
,Thursday,2/23/2017,4:00,LL,LES COPAINS,"via M Melloni, 9",X,,,,,,,,,,,,,,,,,,,,INDIGITAL,,,10:00,,les-copains
,Thursday,2/23/2017,6:00,SM,PRADA ,"via Fogazzaro, 36",X,X,X,X,X,X,,,X,X,X,X,X,X,X,,X,X,X,X,INDIGITAL,VIDEO: LL,,12:00,,prada
,Thursday,2/23/2017,8:00,NP,MOSCHINO,"via San Luca, 3",X,X,,,X,X,X,,,X,,X,X,X,X,,,, ,X,INDIGITAL,VIDEO: NP,,2:00,,moschino
,Friday,2/24/2017,9:30,TC,DIESEL BLACK GOLD,7 via Valtellina,X,,,,,,,,,,,,,,X,,,,,,INDIGITAL,,,3:30,,diesel-black-gold
,Friday,2/24/2017,10:30,SM,EMPORIO ARMANI,"via Bergognone, 59",X,X,,,,,,,,,,,,,,,,,,,INDIGITAL,,,,,emporio-armani
,Friday,2/24/2017,12:30,LL,SPORTMAX,"via Turati, 34",X,,,,,,,,,,,,,,X,,,,,,INDIGITAL,,,6:30,,sportmax
,Friday,2/24/2017,2:00,LL,ETRO,"via Piranesi, 14",X,,,,,,,,,,,,,,X,,,,,,INDIGITAL,,,8:00,,etro
,Friday,2/24/2017,3:00,TC,GIAMBA,"Corso Magenta, 24",X,,,X,,,,,,,,,X,,X,,,,,,INDIGITAL,,,9:00,,giamba
,Friday,2/24/2017,4:00,NP,TOD'S,"via Palestro, 14",X, ,X,,,,,,,,,,,,X,,,,,,INDIGITAL,,,11:00,,tod-s
,Friday,2/24/2017,5:00,NP,MARCO DE VINCENZO,via Gattamelata - Gate 16,X,,,,,,,,,,,,X,,X,,,,,,INDIGITAL,,,10:00,,marco-de-vincenzo
,Friday,2/24/2017,6:00,SM,VERSACE,TBD,X,X,X,X,X,X,X,,X,X,X,X,X,X,X,,X,X,X,X,INDIGITAL,VIDEO: LL,,12:00,,versace
,Friday,2/24/2017,8:00,LL,VIONNET,TBD,X,,,,,,,,,,,,X,,,,,,,,INDIGITAL,,,,,vionnet
 ,Saturday,2/25/2017,9:30,SM,BOTTEGA VENETA,"via Brera, 26",X,X,X,,X,X,,,X,X,, ,X, ,X,,X,,X,,INDIGITAL,VIDEO: NP,,3:30,,bottega-veneta
,Saturday,2/25/2017,11:30,LL,ANTONIO MARRAS,TBD,X,,,,,,,,,,,,,,,,,,,,INDIGITAL,,,5:30,,antonio-marras
,Saturday,2/25/2017,12:30,LL,BLUMARINE,"via Passione, 12",X,,,,,,,,,,,,,,,,X,,,,INDIGITAL,,,6:30,,blumarine
,Saturday,2/25/2017,1:15,NP,MISSONI,"via Procaccini, 4",X,X,,X,,,,,,,,,X,X,X,,X,,,,INDIGITAL,,,1:00,,missoni
 ,Saturday,2/25/2017,2:00,TC,ERMANNO SCERVINO,"corso Venezia, 16",X,,,,,,,,,,,,,,,,,,,,INDIGITAL,,,8:00,,ermanno-scervino
,Saturday,2/25/2017,3:00,NP,JIL SANDER,"via Luca Beltrami, 5",X,X,,,,,,,,,,,,,X,,X,,,,INDIGITAL,,,9:00,,jil-sander
,Saturday,2/25/2017,5:00,TC,GABRIELE COLANGELO,"via Clerici, 10",X,,,,,,,,,,,,,,,,,,,,INDIGITAL,,,11:00,,gabriele-colangelo
,Saturday,2/25/2017,6:00,LL,AQUILANO.RIMONDI,TBD,X,,,,,,,,,,,,,,X,,,,,,INDIGITAL,,,12:00,,aquilano-rimondi
