date,time,title,slug
1/18/2017,2:00,MISHA NONOO ,nonoo
1/24/2017,4:30,VETEMENTS,vetements
1/26/2017,5:00,NELLIE PARTOW,nellie-partow
2/1/2017,1:00,NICOPANDA,nicopanda
2/2/2017,5:30,TOMAS MAIER,tomas-maier
2/2/2017,5:30,MATTHEW ADAMS DOLAN,matthew-adams-dolan
2/3/2017,9:30,KHAITE ,khaite
2/4/2017,TBD,REBECCA MINKOFF SPRING,
2/6/2017,9:00/9:15,TSE,tse
2/6/2017,9:30,MARISSA WEBB,marissa-webb
2/6/2017,12:00,RACHEL ANTONOFF,rachel-antonoff
2/6/2017,4:30,MONIQUE LHUILLIER,monique-lhuillier
2/6/2017,4:30, NP ZAC POSEN PREVIEW,
2/6/2017,5:00,JI OH,ji-oh
2/6/2017,5:15,M.PATMOS,m-patmos
2/6/2017,6:00,RAQUEL ALLEGRA ,raquel-allegra
2/6/2017,7:00,RACHEL ZOE  ,rachel-zoe
2/7/2017,1:30,ESCADA,escada
2/7/2017,2:30,TRINA TURK,trina-turk
2/7/2017,6:00,RACHEL COMEY  ,rachel-comey
2/8/2017,9:00 ,RED VALENTINO,red-valentino
2/8/2017,9:00,GARY GRAHAM,gary-graham
2/8/2017,10:30,AUDRA,audra
2/8/2017,11:00 - 1:00,M. MARTIN ,m-martin
2/8/2017,12:00,REBECCA TAYLOR,rebecca-taylor
2/8/2017,12:00 - 1:00,WHIT,whit
2/8/2017,3:00 - 4:00,PH5,ph5
2/8/2017,3:30,PAM & GELA,pam-gela
2/8/2017,4:00,CYNTHIA ROWLEY,cynthia-rowley
2/8/2017,5:00,TOMMY HILFIGER  ,tommy-hilfiger
2/8/2017,6:00,JENNI KAYNE,jenni-kayne
2/8/2017,7:00,R13,r13
2/9/2017,9:00,KENDALL + KYLIE,kendall-kylie
2/9/2017,9:30,RAG & BONE TEAM APPOINTMENT,rag-bone
2/9/2017,10:00,NICHOLAS K,nicholas-k
2/9/2017,11:00,JEFFREY DODD,jeffrey-dodd
2/9/2017,12:00,ERIN FETHERSTON,erin-fetherston
2/9/2017,12:00 - 1:30,COLOVOS,colovos
2/9/2017,12:30 - 2:00,CINQ A SEPT,cinq-a-sept
2/9/2017,1:00 - 3:00,HAUS ALKIRE,haus-alkire
2/9/2017,2:00,BROCK COLLECTION,brock-collection
2/9/2017,3:00,NOVIS,novis
2/9/2017,4:00,ADEAM,adeam
2/9/2017,4:00,TADASHI SHOJI,tadashi-shoji
2/9/2017,4:00 - 6:00,CREATURES OF COMFORT,creatures-of-comfort
2/9/2017,5:00,ULLA JOHNSON,ulla-johnson
2/9/2017,5:00,CHRISTIAN COWAN,
2/9/2017,5:00,OAK,oak
2/9/2017,6:00,ADAM SELMAN,adam-selman
2/9/2017,6:00 - 7:00,KATIE GALLAGHER,katie-gallagher
2/9/2017,7:00 - 8:00,THAKOON ,thakoon
2/9/2017,8:00,LA PERLA,la-perla
2/9/2017,8:00 - 10:00,RAG & BONE EXHIBITION/PARTY,
2/10/2017,9:00,ELIZABETH AND JAMES,elizabeth-james
2/10/2017,10:00,OSKLEN,osklen
2/10/2017,10:00,RHIE,rhie
2/10/2017,10:00,MAYAS RAG & BONE APPOINTMENT,rag-bone
2/10/2017,10:00,CALVIN KLEIN COLLECTION,calvin-klein-collection
2/10/2017,11:00,ROBERT RODRIGUEZ,robert-rodriguez
2/10/2017,11:15,KATE SPADE  NEW YORK,kate-spade-new-york
2/10/2017,12:00,ZAC ZAC POSEN,zac-zac-posen
2/10/2017,12:00 - 1:00,TANYA TAYLOR,tanya-taylor
2/10/2017,1:00,HELLESSY,hellessy
2/10/2017,2:00,MILLY,milly
2/10/2017,2:00,LINDER,linder
2/10/2017,3:00,CUSHNIE ET OCHS,cushnie-et-ochs
2/10/2017,3:00,PAMELLA ROLAND,pamella-roland
2/10/2017,3:00,NORMA KAMALI,norma-kamali
2/10/2017,4:00,REBECCA MINKOFF,rebecca-minkoff
2/10/2017,3:30,NP ALTUZARRA PREVIEW,
2/10/2017,4:00,WARM ,warm
2/10/2017,4:00,SACHIN + BABI,sachin-babi
2/10/2017,4:00,ERIC SCHLOSBERG,eric-schlosberg
2/10/2017,4:00,CHROMAT,chromat
2/10/2017,5:00,JASON WU,jason-wu
2/10/2017,5:15,CLUB MONACO  ,club-monaco
2/10/2017,6:00,NICOLE MILLER,nicole-miller
2/10/2017,7:00,JEREMY SCOTT,jeremy-scott
2/10/2017,8:00,VFILES,vfiles
2/10/2017,9:00,TELFAR,telfar
2/10/2017,9:00,ALEJANDRA ALONSO ROJAS,alejandra-alonso-rojas
2/11/2017,10:00,ADAM LIPPES,adam-lippes
2/11/2017,10:00 - 4:00,VISVIM,visvim
2/11/2017,10:00,LACOSTE,lacoste
2/11/2017,11:00,JILL STUART,jill-stuart
2/11/2017,12:00 - 1:30,ROMEO HUNT,
2/11/2017,12:00,CREATURES OF THE WIND,creatures-of-wind
2/11/2017,1:00,RYAN ROCHE,ryan-roche
2/11/2017,2:00,TIBI,tibi
2/11/2017,2:30 - 4:30,PRISM,
2/11/2017,3:00,DION LEE,dion-lee
2/11/2017,4:00,CHRISTIAN SIRIANO,christian-siriano
2/11/2017,4:00,CG CHRIS GELINAS,cg
2/11/2017,4:00,SELF-PORTRAIT,self-portrait
2/11/2017,5:00,JONATHAN SIMKHAI,jonathan-simkhai
2/11/2017,6:00,A DETACHER,a-detacher
2/11/2017,6:00,GEORGINE,
2/11/2017,6:30 - 8:30,SIMON MILLER ,simon-miller
2/11/2017,7:00,AREA,area
2/11/2017,7:00 - 8:00,JULIANNA BASS,
2/11/2017,8:00,ALEXANDER WANG,alexander-wang
2/12/2017,9:00,MICHAEL KORS VOGUE PREVIEW,
2/12/2017,10:00,PROTAGONIST,protagonist
2/12/2017,10:00,VICTORIA BECKHAM,victoria-beckham
2/12/2017,11:00,PUBLIC SCHOOL,public-school
2/12/2017,11:00,FRAME,frame-denim
2/12/2017,12:00,ROSETTA GETTY,rosetta-getty
2/12/2017,12:00,TOME,tome
2/12/2017,12:00 - 2:00,ELIZABETH KENNEDY,elizabeth-kennedy
2/12/2017,12:00,CO,co
2/12/2017,1:00,GYPSY SPORT,gypsy-sport
2/12/2017,1:30 - 2:30,J. CREW,j-crew
2/12/2017,3:00,CUSTO BARCELONA,custo-barcelona
2/12/2017,3:00,SIES MARJAN,sies-marjan
2/12/2017,3:00 - 4:00,TRACY REESE,tracy-reese
2/12/2017,4:00 - 6:00,DIANE VON FURSTENBERG,diane-von-furstenberg
2/12/2017,5:00,JENNY PACKHAM,jenny-packham
2/12/2017,5:00,SANDY LIANG,
2/12/2017,6:00,VAQUERA,
2/12/2017,6:00 - 7:00,BEAUFILLE,beaufille
2/12/2017,7:00,PRABAL GURUNG,prabal-gurung
2/12/2017,8:00,ALTUZARRA,altuzarra
2/13/2017,9:00,THE ROW,row
2/13/2017,9:00,HANEY,haney
2/13/2017,10:00,EDUN,edun
2/13/2017,10:00,CAROLINA HERRERA,carolina-herrera
2/13/2017,10:00 - 12:00,CHRISTOPHER ESBER,
2/13/2017,11:00 - 1:00,ROSIE ASSOULIN,rosie-assoulin
2/13/2017,11:00 - 1:00,MPG,
2/13/2017,11:00,ZIMMERMANN,zimmermann
2/13/2017,12:00,THE ELDER STATESMAN,elder-statesman
2/13/2017,12:00,LELA ROSE,lela-rose
2/13/2017,12:00 ,MARYAM NASSIR ZADEH,maryam-nassir-zadeh
2/13/2017,1:00,PROENZA SCHOULER,proenza-schouler
2/13/2017,2:00,GABRIELA HEARST NP PREVIEW,
2/13/2017,2:00,ZADIG & VOLTAIRE,zadig-voltaire
2/13/2017,2:00,YEOHLEE,yeohlee
2/13/2017,3:00,3.1 PHILLIP LIM,3-1-phillip-lim
2/13/2017,3:30,CAMILLA AND MARC,camilla-marc
2/13/2017,4:00,LIBERTINE,libertine
2/13/2017,4:00,MARA HOFFMAN,mara-hoffman
2/13/2017,5:00 - 6:00,VERONICA BEARD,veronica-beard
2/13/2017,5:30,ZERO + MARIA CORNEJO,zero-maria-cornejo
2/13/2017,6:30,OSCAR DE LA RENTA / MONSE,oscar-de-la-renta
2/13/2017,6:30 - 8:30,SUZANNE RAE,suzanne-rae
2/13/2017,8:00,ECKHAUS LATTA,eckhaus-latta
2/13/2017,9:00,PHILIPP PLEIN ,philipp-plein
2/14/2017,9:00,TORY BURCH,tory-burch
2/14/2017,10:00,BADGLEY MISCHKA,badgley-mischka
2/14/2017,10:00,JIL SANDER NAVY,jil-sander-navy
2/14/2017,11:00,NAEEM KHAN,naeem-khan
2/14/2017,11:00 - 1:00,BARBARA TFANK,barbara-tfank
2/14/2017,12:00,SAMUJI ,samuji
2/14/2017,12:00?,YIGAL AZROUEL,yigal-azrouel
2/14/2017,1:00 - 3:00,SALLY LAPOINTE,sally-lapointe
2/14/2017,1:00 - 3:00,ALICE + OLIVIA,
2/14/2017,1:00 - 2:00,ICB,icb
