EXCLUDE,DAY OF WEEK,DATE,WHEN,REVIEW,SHOW,ADDRESS,PHOTO,R,INSTANT,D,B,FR,"INSTANT FR","INSTANT PW",PW,POD,VIDEO,FB LIVE,KT,DS,BZ + SL,FEED,LIVE,LIVEURL,HP HERO,RED CARPET,NOTES,REQUEST SENT,VR HERO,LOCATION,TIME,DESIGNERCODE,
,Sunday,01/22/2017,4:00,LL,PAUL SMITH (Mens + Women's Fall '17),"LՎcole des Beaux Arts, 14 Rue Bonaparte, 75006 ",,X,,,,,,,,,,,,,,,,,,,,,,See invitation,16:00,paul-smith,
,Sunday,01/22/2017,5:00,AV,JULIEN DAVID (Mens + Womens Fall '17),"6 avenue de l'observatoire 75016
",,X,,,,,,,,,,,,,,,,,,,,,,See invitation,17:00,julien-david,
,Sunday,01/22/2017,7:00,AV,KENZO (Mens '17 + Womens Fall '17),"Paris Event Center -20 avenue de la porte de la Villette
",,X,,,,,,,,,,,,,,,,,,,,,,See invitation,19:00,kenzo,
,Sunday,01/22/2017,8:30,AV,MAISON RABIH KAYROUZ ,"38 Boulevard Raspail, 7e",,X,,,,,,,,,,,,,,,,,,,,,,See invitation,20:30,maison-rabih-kayrouz,
EXCLUDE,DAY OF WEEK,DATE,WHEN,REVIEW,SHOW,ADDRESS,PHOTO,R,INSTANT,D,B,FR,"INSTANT FR","INSTANT PW",PW,POD,VIDEO,FB LIVE,KT,DS,BZ + SL,FEED,LIVE,LIVEURL,HP HERO,RED CARPET,NOTES,REQUEST SENT,VR HERO,LOCATION,TIME,DESIGNERCODE,
,Tuesday,01/24/2017,4:30,SM,VETEMENTS (Mens '17 + Womens Fall '17),"Centre Georges Pompidou: Place Georges Pompidou, 4e",,X,,,,,,,,,,,,,,,,,,,,,,See invitation,16:30,vetements,
EXCLUDE,DAY OF WEEK,DATE,WHEN,REVIEW,SHOW,ADDRESS,PHOTO,R,INSTANT,D,B,FR,"INSTANT FR","INSTANT PW",PW,POD,VIDEO,FB LIVE,KT,CT,SOCIAL,FEED,LIVE,LIVEURL,HP HERO,RED CARPET,NOTES,REQUEST SENT,VR HERO,LOCATION,TIME,DESIGNERCODE,
x,Tuesday,02/28/2017,11:00,SM,PASKAL (TBD news/review),See invitation,PR PROVIDE,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tuesday,02/28/2017,12:00,AV,PAULE KA,See invitation,INDIGITAL,X,,,,,,,,,,,,,,,,,,,,,,See invitation,,paule-ka,
,Tuesday,02/28/2017,3:00,AV,AALTO,See invitation,INDIGITAL,X,,,,,,,,,,,,,,,,,,,,,,See invitation,,aalto,
,Tuesday,02/28/2017,4:00,NP,OLIVIER THEYSKENS,See invitation,INDIGITAL,X,X,X, ,,,,,,,,X,X,,X,,,,X,,,,See invitation,,olivier-theyskens,
,Tuesday,02/28/2017,5:00,LL,ANREALAGE,See invitation,INDIGITAL,X,,,,,,,,,,,,,,X,,,,,,,,See invitation,,anrealage,
